
2025/02/01 (14:46:45) | ===> btop++ v.1.4.0
2025/02/01 (14:46:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:10:39) | ===> btop++ v.1.4.0
2025/02/01 (15:10:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:13:33) | ===> btop++ v.1.4.0
2025/02/01 (15:13:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:15:38) | ===> btop++ v.1.4.0
2025/02/01 (15:15:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:15:40) | ===> btop++ v.1.4.0
2025/02/01 (15:15:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:27:14) | ===> btop++ v.1.4.0
2025/02/01 (15:27:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (02:35:38) | ===> btop++ v.1.4.0
2025/02/02 (02:35:38) | WARNING: Intel GPU: Failed to initialize PMU
